Post URL,binary_label
https://www.facebook.com/ABCNewsPolitics/posts/1035057923259100,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035595553205337,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035619779869581,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035627049868854,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035656723199220,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035672566530969,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035679109863648,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035684116529814,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035706656527560,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035726243192268,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035738123191080,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035748639856695,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035767019854857,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1035778606520365,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035801043184788,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035825603182332,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035859429845616,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035884803176412,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1035916476506578,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036199296478296,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036218169809742,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036245469807012,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036251303139762,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036268139804745,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036296946468531,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036336249797934,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036354179796141,0.0
https://www.facebook.com/ABCNewsPolitics/posts/1036370659794493,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036399716458254,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036432846454941,1.0
https://www.facebook.com/ABCNewsPolitics/posts/1036447253120167,1.0
